epoch,iteration,equivar_loss_term_1,equivar_loss_term_2,equivar_loss_term_3,equivar_loss_term_4,equivar_sanity_check,standard_val_loss,loss_diff,grad_norm_equiv,grad_norm_pred,grad_norm_ratio
0,7290,0.00034050914109684527,0.0003347014426253736,5.365000106394291e-06,0.01575535535812378,0.0003400664427317679,0.00026895140763372183,7.155773346312344e-05,0.0,9.99999993922529e-09,0.0
1,14580,0.0002576120605226606,0.0002482324780430645,9.755722203408368e-06,0.03786834701895714,0.00025798819842748344,0.00020515396317932755,5.2458097343333066e-05,0.0,9.99999993922529e-09,0.0
2,21870,0.0001537935750093311,0.00014707917580381036,6.591136298084166e-06,0.042854245752096176,0.0001536703057354316,0.00011448827717686072,3.930529783247039e-05,0.0,9.99999993922529e-09,0.0
3,29160,0.00012274060281924903,0.00011488066957099363,7.021488272584975e-06,0.05720125511288643,0.00012190215784357861,8.425140549661592e-05,3.848919732263312e-05,0.0,9.99999993922529e-09,0.0
4,36450,9.231539297616109e-05,8.510525367455557e-05,6.178447620186489e-06,0.06692035496234894,9.128369856625795e-05,6.325479625957087e-05,2.9060596716590226e-05,0.0,9.99999993922529e-09,0.0
5,43740,6.446292536566034e-05,6.0082413256168365e-05,6.256276719796006e-06,0.09703727811574936,6.633868906646967e-05,5.238198355073109e-05,1.2080941814929247e-05,0.0,9.99999993922529e-09,0.0
