epoch,iteration,equivar_loss_term_1,equivar_loss_term_2,equivar_loss_term_3,equivar_loss_term_4,equivar_sanity_check,standard_val_loss,loss_diff,grad_norm_equiv,grad_norm_pred,grad_norm_ratio
0,72,0.1160588338971138,0.0552268922328949,0.060827821493148804,0.5241119265556335,0.1160547137260437,0.11019342392683029,0.005865409970283508,0.0,9.99999993922529e-09,0.0
1,144,0.05173468217253685,0.02084953337907791,0.03091343864798546,0.5975378751754761,0.05176297202706337,0.09366390109062195,0.0419292189180851,0.0,9.99999993922529e-09,0.0
2,216,0.017336226999759674,0.006900724954903126,0.01043846644461155,0.6021183729171753,0.01733919233083725,0.07060354202985764,0.05326731503009796,0.0,9.99999993922529e-09,0.0
0,72,0.05249710753560066,0.016192510724067688,0.03633268550038338,0.6920891404151917,0.052525196224451065,0.11020594090223312,0.05770883336663246,0.0,9.99999993922529e-09,0.0
3,288,0.00792022980749607,0.0033464471343904734,0.004578000865876675,0.5780128836631775,0.007924447767436504,0.04685713350772858,0.038936903700232506,0.0,9.99999993922529e-09,0.0
4,360,0.005094888154417276,0.0021862220019102097,0.002908224705606699,0.5708111524581909,0.005094446707516909,0.029630757868289948,0.02453586971387267,0.0,9.99999993922529e-09,0.0
5,432,0.003942095674574375,0.0016468450194224715,0.0022957969922572374,0.5823783874511719,0.003942641895264387,0.01948617212474346,0.015544076450169086,0.0,9.99999993922529e-09,0.0
1,144,0.01769639551639557,0.006971968803554773,0.010700548999011517,0.6046736240386963,0.017672518268227577,0.09368693828582764,0.07599054276943207,0.0,9.99999993922529e-09,0.0
6,504,0.0032347284723073244,0.0011560991406440735,0.0020809234119951725,0.6433050036430359,0.003237022552639246,0.013822904787957668,0.010588176315650344,0.0,9.99999993922529e-09,0.0
7,576,0.0027929579373449087,0.001231087138876319,0.001564526348374784,0.5601662397384644,0.002795613370835781,0.010392872616648674,0.007599914679303765,0.0,9.99999993922529e-09,0.0
8,648,0.002463854616507888,0.0009314648923464119,0.0015313526382669806,0.6215246915817261,0.0024628175888210535,0.008110332302749157,0.005646477686241269,0.0,9.99999993922529e-09,0.0
9,720,0.002207212382927537,0.001027866848744452,0.0011725154472514987,0.531217634677887,0.0022003822959959507,0.006502925418317318,0.004295713035389781,0.0,9.99999993922529e-09,0.0
2,216,0.008009162731468678,0.0027268531266599894,0.005277646705508232,0.6589502692222595,0.008004499599337578,0.07067995518445969,0.06267079245299101,0.0,9.99999993922529e-09,0.0
10,792,0.001986715942621231,0.0009451056830585003,0.0010414544958621264,0.5242063999176025,0.0019865601789206266,0.005289087537676096,0.003302371595054865,0.0,9.99999993922529e-09,0.0
11,864,0.0017912308685481548,0.0007601568941026926,0.0010375173296779394,0.5792170763015747,0.001797674223780632,0.004361877683550119,0.0025706468150019646,0.0,9.99999993922529e-09,0.0
12,936,0.0016131182201206684,0.0008128543850034475,0.0008001374662853777,0.4960160255432129,0.0016129917930811644,0.003616447327658534,0.0020033291075378656,0.0,9.99999993922529e-09,0.0
3,288,0.00511825131252408,0.002205041702836752,0.0029120217077434063,0.5689474940299988,0.005117063410580158,0.04688386619091034,0.04176561487838626,0.0,9.99999993922529e-09,0.0
13,1008,0.001426434377208352,0.0006571477861143649,0.0007685761665925384,0.5388055443763733,0.0014257240109145641,0.0030758653301745653,0.0016494309529662132,0.0,9.99999993922529e-09,0.0
14,1080,0.0012221848592162132,0.0006121427286416292,0.0006117614102549851,0.5005432367324829,0.0012239040806889534,0.0026377469766885042,0.001415562117472291,0.0,9.99999993922529e-09,0.0
15,1152,0.0010290115606039762,0.0006326599977910519,0.0003968621895182878,0.385669469833374,0.0010295221582055092,0.0023727233055979013,0.001343711744993925,0.0,9.99999993922529e-09,0.0
16,1224,0.0008713778806850314,0.0005326552200131118,0.00033875147346407175,0.388749361038208,0.0008714066934771836,0.0021993559785187244,0.001327978097833693,0.0,9.99999993922529e-09,0.0
4,360,0.0039576273411512375,0.0014174380339682102,0.002533340360969305,0.6401143670082092,0.003950778394937515,0.029657848179340363,0.025700220838189125,0.0,9.99999993922529e-09,0.0
17,1296,0.0007468999829143286,0.0005225952481850982,0.00022400794841814786,0.2999128997325897,0.0007466031820513308,0.0020821087528020144,0.0013352087698876858,0.0,9.99999993922529e-09,0.0
18,1368,0.0006573057034984231,0.0004979637451469898,0.00015966425416991115,0.2429034560918808,0.000657627999316901,0.0019288994371891022,0.001271593733690679,0.0,9.99999993922529e-09,0.0
19,1440,0.00059767987113446,0.00044459779746830463,0.00015321539831347764,0.2563459873199463,0.0005978131666779518,0.0016935280291363597,0.0010958481580018997,0.0,9.99999993922529e-09,0.0
5,432,0.003236836986616254,0.001424829475581646,0.001813835115171969,0.5603709816932678,0.003238664474338293,0.01952473819255829,0.016287901205942035,0.0,9.99999993922529e-09,0.0
20,1512,0.0005577215924859047,0.0004292737867217511,0.0001278997224289924,0.22932127118110657,0.0005571735091507435,0.0013831141404807568,0.0008253925479948521,0.0,9.99999993922529e-09,0.0
21,1584,0.0005268550012260675,0.0004362307954579592,9.117215813603252e-05,0.1730465292930603,0.0005274029681459069,0.0011551885399967432,0.0006283335387706757,0.0,9.99999993922529e-09,0.0
22,1656,0.0005005939747206867,0.0004069443675689399,9.44385101320222e-05,0.18864913284778595,0.0005013828631490469,0.0009990286780521274,0.0004984347033314407,0.0,9.99999993922529e-09,0.0
6,504,0.0027941050939261913,0.001261834753677249,0.0015382524579763412,0.5505329370498657,0.00280008721165359,0.013825948350131512,0.01103184325620532,0.0,9.99999993922529e-09,0.0
23,1728,0.0004821055626962334,0.0003994835424236953,8.269387762993574e-05,0.17152293026447296,0.00048217742005363107,0.0008861641981638968,0.0004040586354676634,0.0,9.99999993922529e-09,0.0
24,1800,0.0004682850558310747,0.00039386970456689596,7.360655581578612e-05,0.15717986226081848,0.0004674762603826821,0.0007962545496411622,0.00032796949381008744,0.0,9.99999993922529e-09,0.0
25,1872,0.00045566470362246037,0.00038942997343838215,6.564990326296538e-05,0.14407186210155487,0.00045507989125326276,0.0007264953455887735,0.0002708306419663131,0.0,9.99999993922529e-09,0.0
26,1944,0.0004441741039045155,0.00041267683263868093,3.157267565256916e-05,0.07108015567064285,0.0004442495119292289,0.0006801297422498465,0.00023595563834533095,0.0,9.99999993922529e-09,0.0
7,576,0.0024639933835715055,0.0009337118244729936,0.0015316924545913935,0.6216275691986084,0.002465404337272048,0.010414283722639084,0.007950290339067578,0.0,9.99999993922529e-09,0.0
27,2016,0.00043469457887113094,0.00038450490683317184,5.094469815958291e-05,0.11719383299350739,0.00043544959044083953,0.00061795674264431,0.00018326216377317905,0.0,9.99999993922529e-09,0.0
28,2088,0.00043034041300415993,0.000381855177693069,4.8919373512035236e-05,0.11367334425449371,0.000430774554843083,0.0005695803556591272,0.0001392399426549673,0.0,9.99999993922529e-09,0.0
29,2160,0.0004233584040775895,0.00038755807327106595,3.5747951187659055e-05,0.08443698287010193,0.0004233060171827674,0.0005226557841524482,9.929738007485867e-05,0.0,9.99999993922529e-09,0.0
8,648,0.002201783237978816,0.0008550906786695123,0.0013465231750160456,0.6115574836730957,0.0022016139701008797,0.00811491534113884,0.005913132103160024,0.0,9.99999993922529e-09,0.0
30,2232,0.00041706403135322034,0.00037613336462527514,4.080763756064698e-05,0.09784267097711563,0.00041694100946187973,0.0004911057185381651,7.404168718494475e-05,0.0,9.99999993922529e-09,0.0
31,2304,0.00041080970549955964,0.0003736756625585258,3.701905734487809e-05,0.09011022746562958,0.0004106947162654251,0.000463145668618381,5.233596311882138e-05,0.0,9.99999993922529e-09,0.0
32,2376,0.00041138421511277556,0.0003802095598075539,3.084237323491834e-05,0.07497035712003708,0.00041105193668045104,0.00042190568638034165,1.0521471267566085e-05,0.0,9.99999993922529e-09,0.0
33,2448,0.00041134830098599195,0.0003749496245291084,3.6704164813272655e-05,0.08922674506902695,0.00041165377479046583,0.00040215125773102045,9.197043254971504e-06,0.0,9.99999993922529e-09,0.0
9,720,0.0019822982139885426,0.0009529120288789272,0.0010330525692552328,0.5211362242698669,0.00198596459813416,0.006491569802165031,0.004509271588176489,0.0,9.99999993922529e-09,0.0
34,2520,0.0004074616590514779,0.0003799392725341022,2.778962516458705e-05,0.06820014119148254,0.00040772889042273164,0.0003733681805897504,3.40934784617275e-05,0.0,9.99999993922529e-09,0.0
35,2592,0.00040396174881607294,0.00037354876985773444,3.006904080393724e-05,0.07443352043628693,0.00040361779974773526,0.00038052821764722466,2.3433531168848276e-05,0.0,9.99999993922529e-09,0.0
36,2664,0.0004007423995062709,0.00037136272294446826,2.9272898245835677e-05,0.07304484397172928,0.00040063561755232513,0.00037226767744868994,2.8474722057580948e-05,0.0,9.99999993922529e-09,0.0
10,792,0.0017879516817629337,0.0008750644628889859,0.000914468546397984,0.511458694934845,0.0017895330674946308,0.005270469933748245,0.0034825182519853115,0.0,9.99999993922529e-09,0.0
