epoch,iteration,equivar_loss_term_1,equivar_loss_term_2,equivar_loss_term_3,equivar_loss_term_4,equivar_sanity_check,standard_val_loss,loss_diff,grad_norm_equiv,grad_norm_pred,grad_norm_ratio
0,3645,0.0003087973454967141,0.00029804586665704846,1.0646306691342033e-05,0.03447556123137474,0.0003086921642534435,0.0002993274247273803,9.46992076933384e-06,0.0,9.99999993922529e-09,0.0
1,7290,0.00028527629910968244,0.00028022329206578434,5.458383384393528e-06,0.019133001565933228,0.0002856816863641143,0.0002761544892564416,9.121809853240848e-06,0.0,9.99999993922529e-09,0.0
2,10935,0.00026081394753418863,0.0002560809953138232,4.485592398850713e-06,0.017197776585817337,0.00026056659407913685,0.0002530038764234632,7.810071110725403e-06,0.0,9.99999993922529e-09,0.0
3,14580,0.00017382879741489887,0.00016270577907562256,1.1178961358382367e-05,0.06430648267269135,0.00017388473497703671,0.00017734548600856215,3.5166885936632752e-06,0.0,9.99999993922529e-09,0.0
4,18225,0.0001294915855396539,0.00012391727068461478,6.001191650284454e-06,0.04634068161249161,0.00012991846597287804,0.00012710395094472915,2.387634594924748e-06,0.0,9.99999993922529e-09,0.0
5,21870,0.00010812570690177381,0.00010345584450988099,7.176344752224395e-06,0.06636425107717514,0.00011063218698836863,0.0001060379872797057,2.087719622068107e-06,0.0,9.99999993922529e-09,0.0
6,25515,9.440353460377082e-05,8.822066592983902e-05,6.69388509777491e-06,0.07089963555335999,9.491455421084538e-05,8.86349007487297e-05,5.7686338550411165e-06,0.0,9.99999993922529e-09,0.0
7,29160,9.054875408764929e-05,8.528259786544368e-05,5.578987838816829e-06,0.061606280505657196,9.08615838852711e-05,7.298634591279551e-05,1.7562408174853772e-05,0.0,9.99999993922529e-09,0.0
8,32805,7.155819912441075e-05,6.477548595285043e-05,6.049740477465093e-06,0.08453112840652466,7.082522643031552e-05,6.506972567876801e-05,6.4884734456427395e-06,0.0,9.99999993922529e-09,0.0
9,36450,6.205451063578948e-05,5.610110383713618e-05,6.391879651346244e-06,0.10298767685890198,6.249298166949302e-05,5.8742272813105956e-05,3.312237822683528e-06,0.0,9.99999993922529e-09,0.0
10,40095,6.320212560240179e-05,5.929620238021016e-05,5.969883204670623e-06,0.09444206207990646,6.526608194690198e-05,5.37642408744432e-05,9.43788472795859e-06,0.0,9.99999993922529e-09,0.0
11,43740,6.239136564545333e-05,5.734427395509556e-05,5.0401063163008075e-06,0.08076917380094528,6.238438072614372e-05,4.9974059947999194e-05,1.241730569745414e-05,0.0,9.99999993922529e-09,0.0
