epoch,iteration,equivar_loss_term_1,equivar_loss_term_2,equivar_loss_term_3,equivar_loss_term_4,equivar_sanity_check,standard_val_loss,loss_diff,grad_norm_equiv,grad_norm_pred,grad_norm_ratio
0,1822,0.0004696256946772337,0.0003719143569469452,9.754372877068818e-05,0.20770083367824554,0.00046945808571763337,0.0007942651282064617,0.00032463943352922797,0.0,9.99999993922529e-09,0.0
1,3644,0.00030403584241867065,0.0002880531828850508,1.608574893907644e-05,0.05290566757321358,0.0003041389281861484,0.00030037961550988257,3.656226908788085e-06,0.0,9.99999993922529e-09,0.0
2,5466,0.0002872194454539567,0.0002809851139318198,6.58615226711845e-06,0.022929932922124863,0.0002875712525565177,0.0002843214606400579,2.897984813898802e-06,0.0,9.99999993922529e-09,0.0
3,7288,0.00028252918855287135,0.0002801776281557977,2.1904138520767447e-06,0.007752601522952318,0.0002823680406436324,0.0002756604226306081,6.868765922263265e-06,0.0,9.99999993922529e-09,0.0
4,9110,0.0002805181429721415,0.00027804210549220443,2.4440118977508973e-06,0.008712179958820343,0.0002804861287586391,0.00027469382621347904,5.824316758662462e-06,0.0,9.99999993922529e-09,0.0
5,10932,0.00027168099768459797,0.00026814243756234646,3.6817541513300966e-06,0.013551254756748676,0.0002718241885304451,0.000268078496446833,3.6025012377649546e-06,0.0,9.99999993922529e-09,0.0
6,12754,0.00024236179888248444,0.00023545217118225992,5.929506642132765e-06,0.024464506655931473,0.00024138168373610824,0.00024385594588238746,1.4941469999030232e-06,0.0,9.99999993922529e-09,0.0
7,14576,0.00021821149857714772,0.0002078782708849758,9.490944648860022e-06,0.04349225386977196,0.00021736921917181462,0.00021549909433815628,2.7124042389914393e-06,0.0,9.99999993922529e-09,0.0
8,16398,0.0001703697635093704,0.00016143771063070744,9.835011951508932e-06,0.057724062353372574,0.00017127272440120578,0.0001774974080035463,7.127644494175911e-06,0.0,9.99999993922529e-09,0.0
9,18220,0.00016723820590414107,0.00016075008898042142,4.924432232655818e-06,0.029443858191370964,0.00016567451530136168,0.00015899653953965753,8.241666364483535e-06,0.0,9.99999993922529e-09,0.0
10,20042,0.00015552900731563568,0.0001496620971010998,6.625571131735342e-06,0.042597491294145584,0.0001562876714160666,0.0001574775524204597,1.9485451048240066e-06,0.0,9.99999993922529e-09,0.0
11,21864,0.0001557266223244369,0.00014935998478904366,6.742896857758751e-06,0.043296799063682556,0.00015610287664458156,0.0001557282666908577,1.6443664208054543e-09,0.0,9.99999993922529e-09,0.0
12,23686,0.00016580327064730227,0.0001580275420565158,6.344417670334224e-06,0.03826242312788963,0.00016437195881735533,0.00015120289754122496,1.4600373106077313e-05,0.0,9.99999993922529e-09,0.0
13,25508,0.00015986997459549457,0.00015285184781532735,5.960630915069487e-06,0.037281911820173264,0.00015881247236393392,0.0001473168667871505,1.2553107808344066e-05,0.0,9.99999993922529e-09,0.0
14,27330,0.0001497177581768483,0.00014326861128211021,6.505367309728172e-06,0.04344797134399414,0.00014977397222537547,0.00014283483324106783,6.882924935780466e-06,0.0,9.99999993922529e-09,0.0
15,29152,0.00015472811355721205,0.00014894874766469002,5.8346736295789015e-06,0.03770676627755165,0.00015478342538699508,0.00014319736510515213,1.1530748452059925e-05,0.0,9.99999993922529e-09,0.0
16,30974,0.00014209674554876983,0.00013598270015791059,6.453332389355637e-06,0.045411866158246994,0.00014243603800423443,0.00013945392856840044,2.642816980369389e-06,0.0,9.99999993922529e-09,0.0
17,32796,0.00014774713781662285,0.00014103444118518382,6.74645662002149e-06,0.04565909132361412,0.00014778089825995266,0.0001375909778289497,1.0156159987673163e-05,0.0,9.99999993922529e-09,0.0
18,34618,0.0001457479374948889,0.00013837890583090484,6.774054781999439e-06,0.04647469148039818,0.0001451529678888619,0.00013430221588350832,1.1445721611380577e-05,0.0,9.99999993922529e-09,0.0
19,36440,0.00014360688510350883,0.00013671258057001978,6.643395863648038e-06,0.04625776410102844,0.00014335598098114133,0.0001305443001911044,1.3062584912404418e-05,0.0,9.99999993922529e-09,0.0
20,38262,0.00014793488662689924,0.0001414344587828964,6.231955467228545e-06,0.04212349280714989,0.0001476664183428511,0.00012500792217906564,2.2926964447833598e-05,0.0,9.99999993922529e-09,0.0
21,40084,0.00012985705689061433,0.00012169299589004368,6.64078561385395e-06,0.05113526061177254,0.00012833377695642412,0.00012051648809574544,9.340568794868886e-06,0.0,9.99999993922529e-09,0.0
22,41906,0.00012043143215123564,0.00011464030103525147,6.174861482577398e-06,0.05126858502626419,0.00012081516615580767,0.00011543989967321977,4.99153247801587e-06,0.0,9.99999993922529e-09,0.0
